Country Name,Country Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,-2.13542872,2.078140719,4.316297422,0.627471993,-2.372065243,0.421440919,0.474763597,-0.931195987,-1.028281788,3.626041414
Africa Eastern and Southern,AFE,8.954218024,5.537537916,8.97120641,9.158708432,5.750981334,5.37028961,5.24587835,6.571396422,6.399343416,4.720804742
Afghanistan,AFG,-6.811161089,2.178537524,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,0.626149149
Africa Western and Central,AFW,3.282440376,1.784844205,4.018699075,4.578374635,2.439200761,1.768435821,2.130817381,1.487415508,1.725486024,1.784049948
Angola,AGO,13.73028393,14.46965649,13.48246792,10.27790492,8.777814293,7.280387304,9.355972155,30.69441508,29.8444799,19.62893797
Albania,ALB,2.266922095,3.626046956,3.429123247,2.031592684,1.937620802,1.625865044,1.896174026,1.275431684,1.986661332,2.028059631
Andorra,AND,,,,,,,,,,
Arab World,ARB,2.920897118,3.911061955,4.753163889,4.611844322,3.238108339,2.647553212,1.831352332,2.372716031,2.069329282,2.76275077
United Arab Emirates,ARE,1.561813174,0.877983288,0.877346596,0.6622689,1.101118364,2.346268657,4.069966084,1.617488089,1.966825578,3.068633793
Argentina,ARG,,,,,,,,,,
Armenia,ARM,3.406766827,8.176361385,7.650008079,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559,0.969553269,2.52023382
American Samoa,ASM,,,,,,,,,,
Antigua and Barbuda,ATG,-0.550159996,3.370025402,3.456749672,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934
Australia,AUS,1.771117166,2.918340027,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944
Austria,AUT,0.506308828,1.81353439,3.286579149,2.485675622,2.000156169,1.60581183,0.896563335,0.891591753,2.081269114,1.998379814
Azerbaijan,AZE,1.45704836,5.726872247,7.858333333,1.066213397,2.415717453,1.373441815,4.027685737,12.44337486,12.93591842,2.268546904
Burundi,BDI,10.55543553,6.493265915,9.59216606,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614,16.0525353,-2.814698077
Belgium,BEL,-0.053145674,2.189299204,3.532082107,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647,2.12597086,2.053164999
Benin,BEN,0.896072356,2.207835325,2.704239077,6.744682533,0.428888889,-0.548757551,0.218785924,-0.793310146,0.043264856,0.919170718
Burkina Faso,BFA,2.608176664,-0.764230735,2.759767249,3.818152403,0.533738507,-0.258089518,0.724838981,0.441041448,1.482998972,1.955943027
Bangladesh,BGD,5.423472362,8.126676392,11.39516516,6.217504221,7.530406409,6.991638892,6.19428023,5.513525727,5.702070157,5.543621395
Bulgaria,BGR,2.753202239,2.438990605,4.219903466,2.954568298,0.890093541,-1.418183803,-0.104633261,-0.798649886,2.061596194,2.814544738
Bahrain,BHR,2.795512836,1.961884683,-0.400040697,2.7573967,3.300011569,2.647553212,1.848627424,2.786793476,1.386718306,2.08766938
"Bahamas, The",BHS,2.062734735,1.344027384,3.198781417,1.97336756,0.722414785,1.513756431,1.861483029,-0.34637693,1.518207007,2.265863467
Bosnia and Herzegovina,BIH,-0.381464282,1.996212367,3.67125,2.05267452,,,,,,
Belarus,BLR,12.94565634,7.735748043,53.22869831,59.21973602,18.31226104,18.11955435,13.53448976,11.83658077,6.031837252,4.872302206
Belize,BLZ,-1.104310449,0.917977379,1.602056156,1.300580745,0.509747769,1.201399645,-0.861584009,0.663427168,1.147653393,0.269982623
Bermuda,BMU,,,,,,,,,,
Bolivia,BOL,3.346454201,2.503276058,9.884464198,4.515602914,5.736400237,5.766600746,4.059610411,3.623214318,2.822758055,2.272059872
Brazil,BRA,4.888034799,5.038726901,6.636449622,5.40349914,6.204310666,6.329040155,9.029901024,8.739143523,3.44637335,3.664850284
Barbados,BRB,3.643861893,5.824218533,9.432202402,4.533347539,1.81410436,1.769503221,-1.112789925,1.281928131,4.66018464,3.673814104
Brunei Darussalam,BRN,1.035717743,0.356869132,0.137911563,0.111766261,0.389205053,-0.207108732,-0.488347421,-0.278693266,-1.260505646,1.025051793
Bhutan,BTN,4.361122191,7.036383161,8.848985699,10.91965694,8.776383453,8.271060939,4.548143951,3.219886894,4.95508367,2.723963862
Botswana,BWA,8.027297031,6.948876587,8.459872334,7.536902611,5.884607071,4.402253092,3.062031696,2.814957914,3.308280768,3.238015589
Central African Republic,CAF,3.521262272,1.4910237,1.194475724,5.478295943,6.98879342,14.89868418,1.402970171,4.945432761,4.180723319,1.61215687
Canada,CAN,0.299466803,1.776871541,2.912135089,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547,1.596884129,2.268225672
Central Europe and the Baltics,CEB,2.753202239,1.801170221,4.130275626,3.334922677,1.438297872,0.053821313,-0.464499005,-0.054999542,2.075935537,2.534454242
Switzerland,CHE,-0.480481936,0.688238707,0.231349208,-0.692552018,-0.217323155,-0.013202539,-1.143908672,-0.434618664,0.53378784,0.936335464
Channel Islands,CHI,,,,,,,,,,
Chile,CHL,0.353045178,1.41071108,3.341216943,3.007448402,1.78955554,4.718675279,4.348773532,3.786193559,2.182718469,2.434889814
China,CHN,-0.728165251,3.175324753,5.553898923,2.619524326,2.621050017,1.921641628,1.437023809,2.000001822,1.593136001,2.0747904
Cote d'Ivoire,CIV,1.019504577,1.226456121,4.912433951,1.304511199,2.581170373,0.448682077,1.251499548,0.723178458,0.685881065,0.359409031
Cameroon,CMR,3.043618479,1.275380462,2.939699463,2.735296775,2.05034718,1.854898504,2.676235314,0.874190383,0.64040915,1.068858113
"Congo, Dem. Rep.",COD,2.8,7.1,15.31651591,9.721828063,0.808223101,1.243038898,0.744198995,2.885851073,,
"Congo, Rep.",COG,4.415003748,0.391525011,1.759587043,5.010187731,4.631616197,0.912139545,3.169097968,3.190561797,0.450063823,1.152778964
Colombia,COL,4.202516612,2.272002279,3.415033448,3.169301888,2.016992243,2.898837878,4.989831158,7.513460246,4.314313257,3.240569329
Comoros,COM,4.362348293,3.354757703,1.842663008,6.314744503,-4.294873315,,,,,
Cabo Verde,CPV,0.991103481,2.078664709,4.473883422,2.540396442,1.506542857,-0.238778145,0.131187999,-1.407816371,0.784415251,1.256995667
Costa Rica,CRI,7.842701677,5.662757084,4.87799831,4.495453144,5.231336142,4.519200985,0.801982005,-0.017478851,1.62590693,2.221114615
Caribbean small states,CSS,0.006263571,3.250344092,3.198781417,2.41077704,1.059497824,1.089441574,-0.861584009,0.141816226,1.518207007,1.245000409
Cuba,CUB,,,,,,,,,,
Curacao,CUW,1.753316054,2.779442613,2.332531526,3.183987463,1.332320862,1.498739696,-0.47654205,-0.047207985,1.585588017,2.583687566
Cayman Islands,CYM,,0.276140862,1.325435758,1.188948452,2.160611468,1.273979115,-2.347527702,-0.625258359,,
Cyprus,CYP,0.326276652,2.430040841,3.289449396,2.3890541,-0.399357676,-1.354988854,-2.096997691,-1.429166667,0.531766496,1.435491195
Czechia,CZE,1.019377353,1.472727273,1.917219136,3.287623066,1.438297872,0.34398859,0.309364548,0.683504209,2.450533985,2.149494949
Germany,DEU,0.312739007,1.103810378,2.075172837,2.008488848,1.504723303,0.906794,0.514426137,0.491747008,1.509494851,1.732168798
Djibouti,DJI,1.675495873,3.950078759,5.068713948,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087,0.568112117,0.14797085
Dominica,DMA,0.006263571,2.999366305,1.131231365,1.356771478,-0.046411647,0.799250373,-0.843826985,0.141816226,0.296252889,0.989191119
Denmark,DNK,1.30470991,2.31092437,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,0.813609467
Dominican Republic,DOM,1.442151318,6.329932201,5.796768092,3.694497079,4.830950967,2.998642261,0.836746347,1.614166072,3.279556947,3.56443426
Algeria,DZA,5.737060361,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205
East Asia & Pacific (excluding high income),EAP,4.219030521,3.689012297,5.295731852,3.026963911,2.913541936,3.142990509,1.223931955,1.917310902,2.912635574,3.198346416
Early-demographic dividend,EAR,4.373768871,4.397413832,5.81149209,5.018272542,4.824623143,4.018616081,3.09551722,3.371530035,3.465325394,3.975610157
East Asia & Pacific,EAS,1.62173014,3.05730564,5.021460146,2.974607798,2.582687661,2.510876333,0.795279631,1.276990945,1.800342225,2.312603433
Europe & Central Asia (excluding high income),ECA,3.436745279,6.777746691,7.858333333,3.316055667,4.803762714,4.078798825,4.871122617,4.069753981,6.031837252,2.611223783
Europe & Central Asia,ECS,1.5360765,2.424473618,3.856112447,2.773338541,1.750681959,0.624517311,0.410040498,0.391803802,1.956076334,2.040612315
Ecuador,ECU,5.159968292,3.554377346,4.474532658,5.10172181,2.721775777,3.589220166,3.966646233,1.728264633,0.417335589,-0.224103246
"Egypt, Arab Rep.",EGY,11.76349544,11.26518827,10.06492599,7.111729433,9.469719811,10.07021547,10.37049034,13.81360621,29.50660839,14.40146578
Euro area,EMU,0.437175413,1.520575579,3.288014272,2.541544741,1.310233556,0.220195628,-0.08520723,0.166009884,1.375036415,1.689239658
Eritrea,ERI,,,,,,,,,,
Spain,ESP,-0.287813084,1.799864577,3.196101888,2.446127824,1.408581092,-0.151114838,-0.50036571,-0.202598,1.956076334,1.674981369
Estonia,EST,-0.078408311,2.97204512,4.981901315,3.933399873,2.78056659,-0.106175147,-0.492326007,0.148684908,3.417235495,3.436326884
Ethiopia,ETH,8.483644045,8.14926403,33.24995988,23.60041768,7.464021929,6.890019516,9.56889956,6.628133372,10.68711503,13.83303566
European Union,EUU,0.839262247,1.531122704,3.289449396,2.662841655,1.219993423,0.199343827,-0.06164468,0.183334861,1.429107433,1.73860862
Fragile and conflict affected situations,FCS,4.075480801,3.480507637,5.442024705,5.912006025,3.433585268,2.235974079,2.076477902,3.038206435,3.488548254,3.214539255
Finland,FIN,-9.17E-07,1.184135232,3.416807543,2.808336226,1.478286157,1.041196212,-0.20792884,0.356684501,0.754015047,1.083820984
Fiji,FJI,3.13103559,3.689012297,7.278117827,3.423375234,2.913541936,0.519306475,1.374885426,3.863225382,3.347578348,4.081476376
France,FRA,0.087620478,1.531122704,2.111597952,1.954195316,0.863715498,0.507758823,0.037514381,0.183334861,1.032282751,1.850815083
Faroe Islands,FRO,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,6.393602577,3.313709631,5.082594039,5.01850353,1.752327374,0.650284892,-0.298115837,-1.037468064,0.582253735,1.498400236
Gabon,GAB,1.885707546,1.461544027,1.263317078,2.652418287,0.505441059,4.690457518,-0.338795189,2.106707128,2.651925831,4.749066521
United Kingdom,GBR,1.961731736,2.492654725,3.856112447,2.573234797,2.291666667,1.451120163,0.368046842,1.008417368,2.557755776,2.292839903
Georgia,GEO,1.727514611,7.110178975,8.542933333,-0.943658853,-0.512058411,3.068812104,4.003578207,2.134927139,6.035317253,2.615244714
Ghana,GHA,19.24694822,10.73338984,8.728459371,11.18634094,11.66619231,15.48961603,17.1499695,17.45463471,12.37192155,7.808765166
Gibraltar,GIB,,,,,,,,,,
Guinea,GIN,4.68438869,15.05026886,21.31692685,15.2262941,11.88758845,6.150505567,11.7800825,8.172681123,8.914359479,9.827617013
"Gambia, The",GMB,4.561506877,5.049680759,4.795882662,4.254321998,5.699129896,5.947999357,6.808454946,7.228792721,8.034189745,6.520968239
Guinea-Bissau,GNB,-1.651397336,2.517851402,5.046102263,2.130545803,1.207125557,-1.509244606,1.476720489,1.503120559,1.691114618,0.381324703
Equatorial Guinea,GNQ,4.691065677,7.78916548,4.805389222,3.656620483,2.948876946,4.309998661,1.676630853,1.411939155,0.744354747,1.060074107
Greece,GRC,1.210072692,4.712989078,3.329853234,1.501526962,-0.921269454,-1.312260964,-1.735888048,-0.825653978,1.12125452,0.625621413
Grenada,GRD,-0.30865478,3.436509059,3.033472803,2.41077704,-0.043999786,-0.983603056,-0.515448031,1.650389944,0.908458256,0.804102313
Greenland,GRL,,,,,,,,,,
Guatemala,GTM,1.859102547,3.859509098,6.214123931,3.781807547,4.343371313,3.418361697,2.388720328,4.448441999,4.424536552,3.751861867
Guam,GUM,,,,,,,,,,
Guyana,GUY,2.952300964,3.733377577,4.977735637,2.391935213,1.901251819,0.852630498,-1.001734328,0.836008062,1.904656155,1.282842884
High income,HIC,1.588458908,2.078140719,3.410683411,2.662841655,1.49150473,1.033172121,0.319695857,0.443258158,1.587341076,1.881108014
"Hong Kong SAR, China",HKG,0.579441418,2.292890886,5.30524893,4.053909509,4.337993421,4.42364532,2.990848193,2.409307439,1.493872439,2.40613432
Honduras,HND,5.496342738,4.69889065,6.762279573,5.196186155,5.161898986,6.129249303,3.15783118,2.724612233,3.934360844,4.347349378
Heavily indebted poor countries (HIPC),HPC,4.362348293,4.69889065,6.429396811,6.314744503,5.161898986,3.969860452,3.77406982,4.664662358,4.975951506,3.067359961
Croatia,HRV,2.378528459,1.030555053,2.272727273,3.412073491,2.216582064,-0.21519616,-0.464499005,-1.125,1.129372103,1.50012501
Haiti,HTI,0.39388604,4.827341901,6.332794838,5.018041554,4.765024048,3.4381666,6.731840697,11.50290739,10.68008872,12.48141112
Hungary,HUN,4.211711712,4.855557957,3.929920989,5.652145171,1.73319985,-0.227566271,-0.06164468,0.394769307,2.348242812,2.850247926
IBRD only,IBD,3.664903306,4.156727227,5.671576105,4.38747657,3.895551526,3.503790931,3.261509064,2.242974557,3.328173375,3.22703471
IDA & IBRD total,IBT,3.998954518,4.089729895,5.799111731,5.006863194,4.341154898,3.516955514,3.143416962,2.818332881,3.44637335,3.207200124
IDA total,IDA,4.361122191,3.986474083,6.301773934,5.713844342,4.885163876,3.516955514,2.917033247,3.205224346,3.738883885,3.01748181
IDA blend,IDB,3.043618479,3.343426576,4.44083401,4.177635871,2.913541936,1.201399645,1.374885426,1.650389944,1.147653393,2.324144854
Indonesia,IDN,4.38641555,5.134204008,5.35604779,4.279499996,6.412513302,6.394925408,6.363121131,3.525805157,3.80879807,3.198346416
IDA only,IDX,4.446262442,4.763116275,6.716768436,5.981721323,5.009646453,3.992465841,3.254726881,3.523173176,4.180723319,3.067359961
Isle of Man,IMN,,,,,,,,,,
India,IND,10.88235294,11.98938992,8.911793365,9.478996914,10.01787847,6.665656719,4.906973441,4.948216341,3.328173375,3.938826467
Not classified,INX,,,,,,,,,,
Ireland,IRL,-4.447546869,-0.918388645,2.548978302,1.694741167,0.515099485,0.190916399,-0.330959783,0.020124774,0.362173038,0.471130714
"Iran, Islamic Rep.",IRN,13.55155483,10.08936293,26.29338567,27.25681272,36.60303552,16.60655324,12.48468156,7.24542549,8.044924377,18.01411834
Iraq,IRQ,6.873615472,2.877747253,5.801455371,6.089096416,1.879498007,2.235974079,1.393330288,0.556521397,0.184058899,0.367441489
Iceland,ISL,12.00312985,5.396731132,4.001026643,5.185899888,3.872279237,2.044614815,1.633055582,1.69692762,1.760415592,2.682917683
Israel,ISR,3.35617819,2.691370063,3.484949198,1.679207194,1.570255392,0.479786761,-0.601291007,-0.551552353,0.259414975,0.79407566
Italy,ITA,0.774768131,1.525516021,2.780632729,3.041363332,1.219993423,0.24104743,0.0387904,-0.094016657,1.226533166,1.137487636
Jamaica,JAM,9.592245989,12.610552,7.555856466,6.873977087,9.341500766,8.274078862,3.691542289,2.351021975,4.37839865,3.736638822
Jordan,JOR,-0.739069743,4.845518759,4.162441629,4.515229567,4.824623143,2.89947905,-0.87685136,-0.778430463,3.323894476,4.462311085
Japan,JPN,-1.35283673,-0.728243208,-0.272455616,-0.04406451,0.335037912,2.759226714,0.795279631,-0.127258844,0.484199796,0.989094598
Kazakhstan,KAZ,7.316078583,7.400463563,8.452904662,5.19568369,5.942838716,6.84944977,6.678285856,14.36109424,7.442663213,6.163662476
Kenya,KEN,9.234125924,3.961388891,14.0224913,9.377770035,5.71749357,6.878154993,6.582154293,6.297249538,8.005649677,4.689806468
Kyrgyz Republic,KGZ,6.836562481,7.967722256,16.63632627,2.768442365,6.613752024,7.534247298,6.50331839,0.388838297,3.175309864,1.542661452
Cambodia,KHM,-1.241717542,3.996395281,5.478447496,2.934316093,2.941625095,3.855688614,1.223931955,3.019139751,2.912635574,2.459085154
Kiribati,KIR,9.816438845,-3.899550407,1.497409799,-3.045862928,-1.488059085,2.103985209,0.572015744,1.917310902,0.355520889,0.564030491
St. Kitts and Nevis,KNA,2.05793709,0.85087865,5.835165196,0.816089282,1.10698554,0.247865392,-2.30187563,-0.687037123,0.694916712,-1.037122141
"Korea, Rep.",KOR,2.756496545,2.939286527,4.025965004,2.187071044,1.301347545,1.274774464,0.706331772,0.97168574,1.944332308,1.47583935
Kuwait,KWT,4.609595484,4.496402878,4.839403499,3.255146003,2.682296841,2.908926729,3.271701661,3.198397767,2.171832985,0.543133148
Latin America & Caribbean (excluding high income),LAC,2.591946734,3.859509098,5.128923767,4.111509811,2.767896661,3.4381666,3.129002745,2.724612233,3.279556947,2.782357091
Lao PDR,LAO,0.141187675,5.982545216,7.568988561,4.255126778,6.371427178,4.129243069,1.277354271,1.596912276,0.825478608,2.040392669
Lebanon,LBN,1.195096712,3.983479419,4.971485717,6.581474477,4.821019563,1.854604213,-3.749145248,-0.783359624,4.321352183,6.076989079
Liberia,LBR,7.427643059,7.289927969,8.488167518,6.831787034,7.577306817,9.861112856,7.748696876,8.834248683,12.41963239,23.5635149
Libya,LBY,2.459900256,2.799895001,15.51848153,6.059803922,2.605818027,2.432941416,10.40229336,25.85387421,25.80361848,13.17020385
St. Lucia,LCA,-0.156936087,3.250344092,2.769407941,4.177635871,1.46856511,3.516955514,-0.983600953,-3.078217657,0.104262079,1.935618932
Latin America & Caribbean,LCN,2.500499888,3.491288726,4.977735637,3.781807547,2.528647885,3.383412727,1.861483029,1.650389944,2.19201011,2.324144854
Least developed countries: UN classification,LDC,4.622947783,5.516112987,6.79138292,6.377978656,5.583583807,4.405352342,3.963943162,5.472022694,4.975951506,3.494458489
Low income,LIC,5.006273615,4.397413832,7.622822628,6.831787034,5.611629338,3.740529516,4.377126651,5.706375046,8.156863234,3.43946903
Liechtenstein,LIE,,,,,,,,,,
Sri Lanka,LKA,3.464963221,6.217648893,6.716768436,7.542913732,6.908450348,3.179002282,3.768367831,3.958888466,7.704137679,2.135037737
Lower middle income,LMC,4.362348293,4.763116275,6.332794838,5.83116601,5.316235313,4.78942509,3.236586009,3.205224346,3.520256888,4.061163388
Low & middle income,LMY,4.219030521,4.277070529,6.160775538,5.018041554,4.765024048,3.561794364,3.169097968,3.019139751,3.666997027,3.35102209
Lesotho,LSO,-16.85969105,-2.405242546,5.036630521,6.051436621,4.865118995,5.37028961,3.218445137,6.596504907,4.447699374,4.751803016
Late-demographic dividend,LTE,3.041668277,3.297779613,4.370735599,3.316055667,2.682296841,2.044614815,1.557907113,1.109208058,2.177275727,2.474463471
Lithuania,LTU,4.453044565,1.319213621,4.130275626,3.089982771,1.047479371,0.103758009,-0.884097406,0.905525075,3.722888623,2.697927792
